"film_id","title","days","amount"
25,"Angels Life","0","2.99"
25,"Angels Life","1","2.99"
25,"Angels Life","2","2.99"
25,"Angels Life","3","2.99"
25,"Angels Life","3","3.99"
25,"Angels Life","4","3.99"
25,"Angels Life","6","5.99"
25,"Angels Life","6","6.99"
25,"Angels Life","7","6.99"
25,"Angels Life","7","7.99"
25,"Angels Life","8","7.99"
25,"Angels Life","9","8.99"
26,"Annie Identity","0","0.99"
26,"Annie Identity","1","0.99"
26,"Annie Identity","2","0.99"
26,"Annie Identity","3","0.99"
26,"Annie Identity","4","1.99"
26,"Annie Identity","4","2.99"
26,"Annie Identity","5","2.99"
26,"Annie Identity","6","4.99"
26,"Annie Identity","7","4.99"
26,"Annie Identity","7","5.99"
26,"Annie Identity","8","5.99"
26,"Annie Identity","8","6.99"
27,"Anonymous Human","0","0.99"
27,"Anonymous Human","2","0.99"
27,"Anonymous Human","3","0.99"
27,"Anonymous Human","4","0.99"
27,"Anonymous Human","5","0.99"
27,"Anonymous Human","7","1.99"
27,"Anonymous Human","8","1.99"
27,"Anonymous Human","9","2.99"
28,"Anthem Luke","1","4.99"
28,"Anthem Luke","3","4.99"
28,"Anthem Luke","4","4.99"
28,"Anthem Luke","5","4.99"
28,"Anthem Luke","6","5.99"
28,"Anthem Luke","9","8.99"
29,"Antitrust Tomatoes","2","2.99"
29,"Antitrust Tomatoes","3","2.99"
29,"Antitrust Tomatoes","4","2.99"
29,"Antitrust Tomatoes","5","2.99"
29,"Antitrust Tomatoes","5","3.99"
29,"Antitrust Tomatoes","7","4.99"
29,"Antitrust Tomatoes","9","6.99"
30,"Anything Savannah","1","2.99"
30,"Anything Savannah","3","2.99"
30,"Anything Savannah","4","3.99"
30,"Anything Savannah","6","4.99"
30,"Anything Savannah","6","5.99"
30,"Anything Savannah","8","6.99"
30,"Anything Savannah","8","7.99"
30,"Anything Savannah","9","7.99"
31,"Apache Divine","0","4.99"
31,"Apache Divine","1","4.99"
31,"Apache Divine","2","4.99"
31,"Apache Divine","3","4.99"
31,"Apache Divine","4","4.99"
31,"Apache Divine","5","4.99"
31,"Apache Divine","5","5.99"
31,"Apache Divine","6","5.99"
31,"Apache Divine","6","6.99"
31,"Apache Divine","7","6.99"
31,"Apache Divine","7","7.99"
31,"Apache Divine","8","7.99"
31,"Apache Divine","9","8.99"
32,"Apocalypse Flamingos","1","4.99"
32,"Apocalypse Flamingos","3","4.99"
32,"Apocalypse Flamingos","4","4.99"
32,"Apocalypse Flamingos","5","4.99"
34,"Arabia Dogma","0","0.99"
34,"Arabia Dogma","2","0.99"
34,"Arabia Dogma","4","0.99"
34,"Arabia Dogma","5","0.99"
34,"Arabia Dogma","6","1.99"
34,"Arabia Dogma","8","3.99"
35,"Arachnophobia Rollercoaster","1","2.99"
35,"Arachnophobia Rollercoaster","2","2.99"
35,"Arachnophobia Rollercoaster","3","2.99"
35,"Arachnophobia Rollercoaster","4","3.99"
35,"Arachnophobia Rollercoaster","5","3.99"
35,"Arachnophobia Rollercoaster","5","4.99"
35,"Arachnophobia Rollercoaster","6","5.99"
35,"Arachnophobia Rollercoaster","7","5.99"
35,"Arachnophobia Rollercoaster","7","6.99"
35,"Arachnophobia Rollercoaster","8","6.99"
35,"Arachnophobia Rollercoaster","9","7.99"
37,"Arizona Bang","0","2.99"
37,"Arizona Bang","1","2.99"
37,"Arizona Bang","2","2.99"
37,"Arizona Bang","4","3.99"
37,"Arizona Bang","4","4.99"
37,"Arizona Bang","5","4.99"
37,"Arizona Bang","5","5.99"
37,"Arizona Bang","6","5.99"
37,"Arizona Bang","7","6.99"
37,"Arizona Bang","7","7.99"
37,"Arizona Bang","8","7.99"
39,"Armageddon Lost","0","0.99"
39,"Armageddon Lost","1","0.99"
39,"Armageddon Lost","3","0.99"
39,"Armageddon Lost","4","0.99"
39,"Armageddon Lost","6","1.99"
39,"Armageddon Lost","6","2.99"
39,"Armageddon Lost","7","2.99"
39,"Armageddon Lost","7","3.99"
39,"Armageddon Lost","8","4.99"
39,"Armageddon Lost","9","5.99"
39,"Armageddon Lost",NULL,"0.99"
40,"Army Flintstones","0","0.99"
40,"Army Flintstones","1","0.99"
40,"Army Flintstones","2","0.99"
40,"Army Flintstones","3","0.99"
40,"Army Flintstones","4","0.99"
40,"Army Flintstones","6","2.99"
40,"Army Flintstones","7","3.99"
40,"Army Flintstones","7","4.99"
40,"Army Flintstones","9","6.99"
42,"Artist Coldblooded","1","2.99"
42,"Artist Coldblooded","2","2.99"
42,"Artist Coldblooded","3","2.99"
42,"Artist Coldblooded","5","2.99"
42,"Artist Coldblooded","5","3.99"
42,"Artist Coldblooded","6","3.99"
42,"Artist Coldblooded","7","4.99"
42,"Artist Coldblooded","7","5.99"
42,"Artist Coldblooded","8","5.99"
42,"Artist Coldblooded","9","6.99"
43,"Atlantis Cause","0","2.99"
43,"Atlantis Cause","1","2.99"
43,"Atlantis Cause","2","2.99"
43,"Atlantis Cause","3","2.99"
43,"Atlantis Cause","4","2.99"
43,"Atlantis Cause","5","2.99"
43,"Atlantis Cause","6","2.99"
43,"Atlantis Cause","6","3.99"
43,"Atlantis Cause","7","3.99"
43,"Atlantis Cause","8","5.99"
43,"Atlantis Cause","9","5.99"
44,"Attacks Hate","1","4.99"
44,"Attacks Hate","2","4.99"
44,"Attacks Hate","3","4.99"
44,"Attacks Hate","4","4.99"
44,"Attacks Hate","5","5.99"
44,"Attacks Hate","6","5.99"
44,"Attacks Hate","8","7.99"
44,"Attacks Hate","8","8.99"
44,"Attacks Hate","9","8.99"
45,"Attraction Newton","0","4.99"
45,"Attraction Newton","1","4.99"
45,"Attraction Newton","2","4.99"
45,"Attraction Newton","4","4.99"
45,"Attraction Newton","5","5.99"
45,"Attraction Newton","6","5.99"
45,"Attraction Newton","7","6.99"
45,"Attraction Newton","8","7.99"
45,"Attraction Newton","8","8.99"
45,"Attraction Newton","9","8.99"
46,"Autumn Crow","0","4.99"
46,"Autumn Crow","1","4.99"
46,"Autumn Crow","3","5.99"
46,"Autumn Crow","4","6.99"
46,"Autumn Crow","7","9.99"
46,"Autumn Crow","8","9.99"
46,"Autumn Crow","9","10.99"
47,"Baby Hall","2","4.99"
47,"Baby Hall","3","4.99"
47,"Baby Hall","4","4.99"
47,"Baby Hall","6","5.99"
47,"Baby Hall","7","6.99"
47,"Baby Hall","8","7.99"
48,"Backlash Undefeated","0","4.99"
48,"Backlash Undefeated","1","4.99"
48,"Backlash Undefeated","4","5.99"
48,"Backlash Undefeated","6","7.99"
48,"Backlash Undefeated","6","8.99"
48,"Backlash Undefeated","7","8.99"
48,"Backlash Undefeated","7","9.99"
48,"Backlash Undefeated","8","9.99"
48,"Backlash Undefeated","9","10.99"
49,"Badman Dawn","0","2.99"
49,"Badman Dawn","1","2.99"
49,"Badman Dawn","2","2.99"
49,"Badman Dawn","3","2.99"
49,"Badman Dawn","4","2.99"
49,"Badman Dawn","7","3.99"
49,"Badman Dawn","7","4.99"
49,"Badman Dawn","9","5.99"
50,"Baked Cleopatra","0","2.99"
50,"Baked Cleopatra","1","2.99"
50,"Baked Cleopatra","2","2.99"
50,"Baked Cleopatra","3","3.99"
50,"Baked Cleopatra","4","4.99"
50,"Baked Cleopatra","5","5.99"
50,"Baked Cleopatra","6","6.99"
50,"Baked Cleopatra","7","6.99"
50,"Baked Cleopatra","7","7.99"
50,"Baked Cleopatra","8","7.99"
50,"Baked Cleopatra",NULL,"2.99"
51,"Balloon Homeward","0","2.99"
51,"Balloon Homeward","2","2.99"
51,"Balloon Homeward","3","2.99"
51,"Balloon Homeward","4","2.99"
51,"Balloon Homeward","5","2.99"
51,"Balloon Homeward","5","3.99"
51,"Balloon Homeward","6","3.99"
51,"Balloon Homeward","6","4.99"
51,"Balloon Homeward","7","5.99"
51,"Balloon Homeward","8","6.99"
51,"Balloon Homeward","9","6.99"
52,"Ballroom Mockingbird","0","0.99"
52,"Ballroom Mockingbird","1","0.99"
52,"Ballroom Mockingbird","5","0.99"
52,"Ballroom Mockingbird","6","0.99"
52,"Ballroom Mockingbird","7","1.99"
52,"Ballroom Mockingbird","8","2.99"
53,"Bang Kwai","2","2.99"
53,"Bang Kwai","3","2.99"
53,"Bang Kwai","4","2.99"
53,"Bang Kwai","5","2.99"
53,"Bang Kwai","5","3.99"
53,"Bang Kwai","6","3.99"
53,"Bang Kwai",NULL,"2.99"
54,"Banger Pinocchio","0","0.99"
54,"Banger Pinocchio","1","0.99"
54,"Banger Pinocchio","2","0.99"
54,"Banger Pinocchio","3","0.99"
54,"Banger Pinocchio","5","0.99"
54,"Banger Pinocchio","6","1.99"
54,"Banger Pinocchio","6","2.99"
54,"Banger Pinocchio","7","2.99"
54,"Banger Pinocchio","7","3.99"
54,"Banger Pinocchio","8","4.99"
55,"Barbarella Streetcar","1","2.99"
55,"Barbarella Streetcar","3","2.99"
55,"Barbarella Streetcar","4","2.99"
55,"Barbarella Streetcar","6","3.99"
55,"Barbarella Streetcar","7","3.99"
55,"Barbarella Streetcar","8","4.99"
55,"Barbarella Streetcar","8","5.99"
55,"Barbarella Streetcar","9","5.99"
56,"Barefoot Manchurian","0","2.99"
56,"Barefoot Manchurian","2","2.99"
56,"Barefoot Manchurian","3","2.99"
56,"Barefoot Manchurian","4","2.99"
56,"Barefoot Manchurian","6","2.99"
56,"Barefoot Manchurian","6","3.99"
56,"Barefoot Manchurian","7","3.99"
56,"Barefoot Manchurian","7","4.99"
56,"Barefoot Manchurian","8","5.99"
57,"Basic Easy","1","2.99"
57,"Basic Easy","2","2.99"
57,"Basic Easy","3","2.99"
57,"Basic Easy","4","2.99"
57,"Basic Easy","4","3.99"
57,"Basic Easy","5","3.99"
57,"Basic Easy","6","5.99"
57,"Basic Easy","7","5.99"
57,"Basic Easy","7","6.99"
57,"Basic Easy","8","6.99"
57,"Basic Easy","8","7.99"
57,"Basic Easy",NULL,"2.99"
58,"Beach Heartbreakers","0","2.99"
58,"Beach Heartbreakers","1","2.99"
58,"Beach Heartbreakers","2","2.99"
58,"Beach Heartbreakers","3","2.99"
58,"Beach Heartbreakers","5","2.99"
58,"Beach Heartbreakers","6","2.99"
58,"Beach Heartbreakers","6","3.99"
58,"Beach Heartbreakers","7","4.99"
58,"Beach Heartbreakers","8","4.99"
58,"Beach Heartbreakers","8","5.99"
58,"Beach Heartbreakers","9","5.99"
59,"Bear Graceland","1","2.99"
59,"Bear Graceland","2","2.99"
59,"Bear Graceland","4","2.99"
59,"Bear Graceland","4","3.99"
59,"Bear Graceland","5","4.99"
59,"Bear Graceland","6","4.99"
59,"Bear Graceland","6","5.99"
59,"Bear Graceland","7","5.99"
59,"Bear Graceland","7","6.99"
59,"Bear Graceland","8","7.99"
59,"Bear Graceland","9","7.99"
60,"Beast Hunchback","0","4.99"
60,"Beast Hunchback","1","4.99"
60,"Beast Hunchback","2","4.99"
60,"Beast Hunchback","3","4.99"
60,"Beast Hunchback","4","5.99"
60,"Beast Hunchback","5","7.99"
60,"Beast Hunchback","6","8.99"
60,"Beast Hunchback","8","10.99"
60,"Beast Hunchback","9","10.99"
61,"Beauty Grease","0","4.99"
61,"Beauty Grease","1","4.99"
61,"Beauty Grease","2","4.99"
61,"Beauty Grease","3","4.99"
61,"Beauty Grease","4","4.99"
61,"Beauty Grease","5","4.99"
61,"Beauty Grease","5","5.99"
61,"Beauty Grease","6","5.99"
61,"Beauty Grease","6","6.99"
61,"Beauty Grease","7","6.99"
61,"Beauty Grease","7","7.99"
61,"Beauty Grease","8","8.99"
62,"Bed Highball","2","2.99"
62,"Bed Highball","4","2.99"
62,"Bed Highball","5","3.99"
62,"Bed Highball","7","5.99"
63,"Bedazzled Married","0","0.99"
63,"Bedazzled Married","1","0.99"
63,"Bedazzled Married","2","0.99"
63,"Bedazzled Married","4","0.99"
63,"Bedazzled Married","5","0.99"
63,"Bedazzled Married","6","1.99"
63,"Bedazzled Married","7","1.99"
64,"Beethoven Exorcist","1","0.99"
64,"Beethoven Exorcist","2","0.99"
64,"Beethoven Exorcist","3","0.99"
64,"Beethoven Exorcist","5","0.99"
64,"Beethoven Exorcist","6","0.99"
64,"Beethoven Exorcist","6","1.99"
64,"Beethoven Exorcist","7","2.99"
64,"Beethoven Exorcist","8","2.99"
65,"Behavior Runaway","0","4.99"
65,"Behavior Runaway","1","4.99"
65,"Behavior Runaway","3","4.99"
65,"Behavior Runaway","4","6.99"
65,"Behavior Runaway","5","6.99"
65,"Behavior Runaway","6","7.99"
65,"Behavior Runaway","6","8.99"
65,"Behavior Runaway","8","9.99"
65,"Behavior Runaway","8","10.99"
65,"Behavior Runaway","9","10.99"
66,"Beneath Rush","1","0.99"
66,"Beneath Rush","3","0.99"
66,"Beneath Rush","4","0.99"
66,"Beneath Rush","7","1.99"
66,"Beneath Rush","9","3.99"
67,"Berets Agent","0","2.99"
67,"Berets Agent","1","2.99"
67,"Berets Agent","2","2.99"
67,"Berets Agent","3","2.99"
67,"Berets Agent","4","2.99"
67,"Berets Agent","5","2.99"
67,"Berets Agent","5","3.99"
67,"Berets Agent","6","3.99"
67,"Berets Agent","7","5.99"
67,"Berets Agent","8","6.99"
67,"Berets Agent",NULL,"5.98"
68,"Betrayed Rear","0","4.99"
68,"Betrayed Rear","1","4.99"
68,"Betrayed Rear","2","4.99"
68,"Betrayed Rear","3","4.99"
68,"Betrayed Rear","4","4.99"
68,"Betrayed Rear","5","4.99"
68,"Betrayed Rear","6","6.99"
68,"Betrayed Rear","7","6.99"
68,"Betrayed Rear","8","7.99"
68,"Betrayed Rear","9","8.99"
69,"Beverly Outlaw","1","2.99"
69,"Beverly Outlaw","2","2.99"
69,"Beverly Outlaw","3","2.99"
69,"Beverly Outlaw","3","3.99"
69,"Beverly Outlaw","4","3.99"
69,"Beverly Outlaw","4","4.99"
69,"Beverly Outlaw","5","4.99"
69,"Beverly Outlaw","5","5.99"
69,"Beverly Outlaw","6","5.99"
69,"Beverly Outlaw","6","6.99"
69,"Beverly Outlaw","7","7.99"
69,"Beverly Outlaw","8","7.99"
69,"Beverly Outlaw","8","8.99"
69,"Beverly Outlaw","9","8.99"
70,"Bikini Borrowers","0","4.99"
70,"Bikini Borrowers","1","4.99"
70,"Bikini Borrowers","2","4.99"
70,"Bikini Borrowers","4","4.99"
70,"Bikini Borrowers","6","4.99"
70,"Bikini Borrowers","7","5.99"
70,"Bikini Borrowers","8","6.99"
70,"Bikini Borrowers","9","6.99"
71,"Bilko Anonymous","0","4.99"
71,"Bilko Anonymous","3","5.99"
71,"Bilko Anonymous","4","6.99"
71,"Bilko Anonymous","5","6.99"
71,"Bilko Anonymous","5","7.99"
71,"Bilko Anonymous","6","7.99"
71,"Bilko Anonymous","8","10.99"
71,"Bilko Anonymous","9","10.99"
72,"Bill Others","0","2.99"
72,"Bill Others","1","2.99"
72,"Bill Others","2","2.99"
72,"Bill Others","3","2.99"
72,"Bill Others","4","2.99"
72,"Bill Others","5","2.99"
72,"Bill Others","6","3.99"
72,"Bill Others","7","3.99"
72,"Bill Others","7","4.99"
72,"Bill Others","9","5.99"
73,"Bingo Talented","1","2.99"
73,"Bingo Talented","3","2.99"
73,"Bingo Talented","4","2.99"
73,"Bingo Talented","5","3.99"
73,"Bingo Talented","6","3.99"
73,"Bingo Talented","6","4.99"
73,"Bingo Talented","7","5.99"
73,"Bingo Talented","8","5.99"
73,"Bingo Talented","8","6.99"
73,"Bingo Talented","9","6.99"
74,"Birch Antitrust","0","4.99"
74,"Birch Antitrust","3","4.99"
74,"Birch Antitrust","4","4.99"
74,"Birch Antitrust","4","5.99"
74,"Birch Antitrust","5","5.99"
74,"Birch Antitrust","5","6.99"
74,"Birch Antitrust","6","6.99"
74,"Birch Antitrust","6","7.99"
74,"Birch Antitrust","8","8.99"
74,"Birch Antitrust","8","9.99"
75,"Bird Independence","2","4.99"
75,"Bird Independence","3","4.99"
75,"Bird Independence","4","4.99"
75,"Bird Independence","5","4.99"
75,"Bird Independence","6","4.99"
75,"Bird Independence","8","7.99"
75,"Bird Independence","9","7.99"
76,"Birdcage Casper","1","0.99"
76,"Birdcage Casper","3","0.99"
76,"Birdcage Casper","4","0.99"
76,"Birdcage Casper","4","1.99"
76,"Birdcage Casper","5","1.99"
76,"Birdcage Casper","5","2.99"
76,"Birdcage Casper","7","4.99"
76,"Birdcage Casper","8","5.99"
77,"Birds Perdition","0","4.99"
77,"Birds Perdition","1","4.99"
77,"Birds Perdition","2","4.99"
77,"Birds Perdition","3","4.99"
77,"Birds Perdition","4","4.99"
77,"Birds Perdition","6","5.99"
77,"Birds Perdition","6","6.99"
77,"Birds Perdition","7","6.99"
77,"Birds Perdition","8","7.99"
77,"Birds Perdition","8","8.99"
77,"Birds Perdition","9","8.99"
78,"Blackout Private","0","2.99"
78,"Blackout Private","1","2.99"
78,"Blackout Private","2","2.99"
78,"Blackout Private","4","2.99"
78,"Blackout Private","5","2.99"
78,"Blackout Private","6","2.99"
78,"Blackout Private","7","3.99"
78,"Blackout Private","8","4.99"
78,"Blackout Private","9","5.99"
79,"Blade Polish","1","0.99"
79,"Blade Polish","2","0.99"
79,"Blade Polish","3","0.99"
79,"Blade Polish","4","0.99"
79,"Blade Polish","5","0.99"
79,"Blade Polish","5","1.99"
79,"Blade Polish","6","1.99"
79,"Blade Polish","6","2.99"
79,"Blade Polish","8","3.99"
79,"Blade Polish",NULL,"0.00"
80,"Blanket Beverly","3","2.99"
80,"Blanket Beverly","4","2.99"
80,"Blanket Beverly","5","2.99"
80,"Blanket Beverly","6","2.99"
80,"Blanket Beverly","7","2.99"
80,"Blanket Beverly","8","3.99"
80,"Blanket Beverly","8","4.99"
80,"Blanket Beverly",NULL,"2.99"
81,"Blindness Gun","0","4.99"
81,"Blindness Gun","3","4.99"
81,"Blindness Gun","4","4.99"
81,"Blindness Gun","5","4.99"
81,"Blindness Gun","6","4.99"
81,"Blindness Gun","7","5.99"
81,"Blindness Gun","9","7.99"
82,"Blood Argonauts","1","0.99"
82,"Blood Argonauts","2","0.99"
82,"Blood Argonauts","4","1.99"
82,"Blood Argonauts","8","5.99"
82,"Blood Argonauts","8","6.99"
83,"Blues Instinct","0","2.99"
83,"Blues Instinct","1","2.99"
83,"Blues Instinct","2","2.99"
83,"Blues Instinct","3","2.99"
83,"Blues Instinct","4","2.99"
83,"Blues Instinct","5","3.99"
83,"Blues Instinct","6","4.99"
83,"Blues Instinct","8","5.99"
83,"Blues Instinct","8","6.99"
83,"Blues Instinct","9","6.99"
84,"Boiled Dares","0","4.99"
84,"Boiled Dares","1","4.99"
84,"Boiled Dares","2","4.99"
84,"Boiled Dares","3","4.99"
84,"Boiled Dares","4","4.99"
84,"Boiled Dares","5","4.99"
84,"Boiled Dares","6","4.99"
84,"Boiled Dares","8","6.99"
85,"Bonnie Holocaust","1","0.99"
85,"Bonnie Holocaust","2","0.99"
85,"Bonnie Holocaust","3","0.99"
85,"Bonnie Holocaust","4","0.99"
85,"Bonnie Holocaust","5","1.99"
85,"Bonnie Holocaust","7","3.99"
85,"Bonnie Holocaust","7","4.99"
85,"Bonnie Holocaust","8","5.99"
86,"Boogie Amelie","0","4.99"
86,"Boogie Amelie","1","4.99"
86,"Boogie Amelie","2","4.99"
86,"Boogie Amelie","3","4.99"
86,"Boogie Amelie","4","4.99"
86,"Boogie Amelie","5","4.99"
86,"Boogie Amelie","6","4.99"
86,"Boogie Amelie","6","5.99"
86,"Boogie Amelie","7","5.99"
86,"Boogie Amelie","8","6.99"
86,"Boogie Amelie","8","7.99"
86,"Boogie Amelie",NULL,"9.98"
88,"Born Spinal","0","4.99"
88,"Born Spinal","1","4.99"
88,"Born Spinal","2","4.99"
88,"Born Spinal","4","4.99"
88,"Born Spinal","6","4.99"
88,"Born Spinal","7","4.99"
89,"Borrowers Bedazzled","1","0.99"
89,"Borrowers Bedazzled","2","0.99"
89,"Borrowers Bedazzled","3","0.99"
89,"Borrowers Bedazzled","4","0.99"
89,"Borrowers Bedazzled","5","0.99"
89,"Borrowers Bedazzled","6","0.99"
